word\t index\t occurance
surplus\t 3764\t 23
retire\t 3765\t 23
rallied\t 3766\t 23
urban\t 3767\t 23
complain\t 3768\t 23
Harvard\t 3769\t 23
1990s\t 3770\t 23
visitors\t 3771\t 22
bankruptcy-law\t 3772\t 22
forward\t 3773\t 22
seasonally\t 3774\t 22
wall\t 3775\t 22
Executive\t 3776\t 22
complicated\t 3777\t 22
casino\t 3778\t 22
associate\t 3779\t 22
Authority\t 3780\t 22
taxable\t 3781\t 22
Tennessee\t 3782\t 22
sectors\t 3783\t 22
BankAmerica\t 3784\t 22
Florio\t 3785\t 22
wish\t 3786\t 22
doctor\t 3787\t 22
scene\t 3788\t 22
Milton\t 3789\t 22
blow\t 3790\t 22
referring\t 3791\t 22
Technologies\t 3792\t 22
complaint\t 3793\t 22
disease\t 3794\t 22
boosting\t 3795\t 22
Steven\t 3796\t 22
TW\t 3797\t 22
charities\t 3798\t 22
weather\t 3799\t 22
Imperial\t 3800\t 22
73\t 3801\t 22
freight\t 3802\t 22
southern\t 3803\t 22
Program\t 3804\t 22
activists\t 3805\t 22
crimes\t 3806\t 22
importance\t 3807\t 22
sweeping\t 3808\t 22
Lane\t 3809\t 22
Spiegel\t 3810\t 22
violation\t 3811\t 22
Radio\t 3812\t 22
FDA\t 3813\t 22
favorite\t 3814\t 22
1972\t 3815\t 22
segments\t 3816\t 22
Bonds\t 3817\t 22
peak\t 3818\t 22
readers\t 3819\t 22
sit\t 3820\t 22
slower\t 3821\t 22
Williams\t 3822\t 22
respondents\t 3823\t 22
studying\t 3824\t 22
promises\t 3825\t 22
dropping\t 3826\t 22
hoping\t 3827\t 22
powers\t 3828\t 22
Moon\t 3829\t 22
consistently\t 3830\t 22
Va.\t 3831\t 22
apparel\t 3832\t 22
Marina\t 3833\t 22
4.2\t 3834\t 22
prospect\t 3835\t 22
programming\t 3836\t 22
focused\t 3837\t 22
pays\t 3838\t 22
downtown\t 3839\t 22
window\t 3840\t 22
Lebanon\t 3841\t 22
37.5\t 3842\t 22
biotechnology\t 3843\t 22
award\t 3844\t 22
102\t 3845\t 22
unveiled\t 3846\t 22
search\t 3847\t 22
67\t 3848\t 22
recovered\t 3849\t 22
barely\t 3850\t 22
factories\t 3851\t 22
weight\t 3852\t 22
scheme\t 3853\t 22
flexibility\t 3854\t 22
cast\t 3855\t 22
master\t 3856\t 22
negotiated\t 3857\t 22
discussed\t 3858\t 22
plea\t 3859\t 22
Capitol\t 3860\t 22
obtained\t 3861\t 22
founded\t 3862\t 22
toll\t 3863\t 22
departments\t 3864\t 22
circuit\t 3865\t 22
attended\t 3866\t 22
circulation\t 3867\t 22
Stone\t 3868\t 22
vast\t 3869\t 22
Colorado\t 3870\t 22
stem\t 3871\t 22
intelligence\t 3872\t 22
replacement\t 3873\t 22
involvement\t 3874\t 22
device\t 3875\t 22
testimony\t 3876\t 22
2.1\t 3877\t 22
converted\t 3878\t 22
deep\t 3879\t 22
color\t 3880\t 22
Hastings\t 3881\t 22
borrowed\t 3882\t 22
flag\t 3883\t 22
plays\t 3884\t 22
97\t 3885\t 22
HealthVest\t 3886\t 22
shape\t 3887\t 22
terrorism\t 3888\t 22
realized\t 3889\t 22
durable\t 3890\t 22
Vice\t 3891\t 22
abuse\t 3892\t 22
Information\t 3893\t 22
Bartlett\t 3894\t 22
Bally\t 3895\t 22
resolved\t 3896\t 22
state-owned\t 3897\t 22
Missouri\t 3898\t 22
acting\t 3899\t 22
EST\t 3900\t 22
bases\t 3901\t 22
funded\t 3902\t 22
flying\t 3903\t 22
admitted\t 3904\t 21
motion\t 3905\t 21
commodities\t 3906\t 21
eligible\t 3907\t 21
foot\t 3908\t 21
5.3\t 3909\t 21
resolve\t 3910\t 21
degree\t 3911\t 21
spinoff\t 3912\t 21
accident\t 3913\t 21
stuff\t 3914\t 21
fueled\t 3915\t 21
Hospital\t 3916\t 21
Real\t 3917\t 21
Honda\t 3918\t 21
behavior\t 3919\t 21
blue\t 3920\t 21
loyal\t 3921\t 21
protected\t 3922\t 21
Ariz.\t 3923\t 21
Witter\t 3924\t 21
kids\t 3925\t 21
greatest\t 3926\t 21
Fidelity\t 3927\t 21
sitting\t 3928\t 21
contained\t 3929\t 21
risky\t 3930\t 21
slowed\t 3931\t 21
versions\t 3932\t 21
fleet\t 3933\t 21
Russian\t 3934\t 21
sand\t 3935\t 21
struck\t 3936\t 21
mill\t 3937\t 21
duty\t 3938\t 21
fare\t 3939\t 21
racketeering\t 3940\t 21
nobody\t 3941\t 21
broadcast\t 3942\t 21
RATE\t 3943\t 21
lots\t 3944\t 21
forcing\t 3945\t 21
structures\t 3946\t 21
plummeted\t 3947\t 21
cap\t 3948\t 21
plaintiffs\t 3949\t 21
pieces\t 3950\t 21
investigating\t 3951\t 21
Small\t 3952\t 21
assumed\t 3953\t 21
Line\t 3954\t 21
Tandy\t 3955\t 21
nervous\t 3956\t 21
insists\t 3957\t 21
south\t 3958\t 21
Currently\t 3959\t 21
feeling\t 3960\t 21
technique\t 3961\t 21
secret\t 3962\t 21
Cos.\t 3963\t 21
explains\t 3964\t 21
eyes\t 3965\t 21
developments\t 3966\t 21
Fuji\t 3967\t 21
adjustable\t 3968\t 21
inquiry\t 3969\t 21
pool\t 3970\t 21
bells\t 3971\t 21
Army\t 3972\t 21
discounting\t 3973\t 21
manages\t 3974\t 21
Katz\t 3975\t 21
tower\t 3976\t 21
false\t 3977\t 21
Interest\t 3978\t 21
park\t 3979\t 21
a.m\t 3980\t 21
reportedly\t 3981\t 21
Part\t 3982\t 21
diluted\t 3983\t 21
Pemex\t 3984\t 21
concedes\t 3985\t 21
committees\t 3986\t 21
takeovers\t 3987\t 21
Carpenter\t 3988\t 21
newsletter\t 3989\t 21
approached\t 3990\t 21
well-known\t 3991\t 21
covers\t 3992\t 21
counts\t 3993\t 21
rural\t 3994\t 21
gotten\t 3995\t 21
Samuel\t 3996\t 21
Jacobson\t 3997\t 21
admits\t 3998\t 21
ends\t 3999\t 21
CFCs\t 4000\t 21
slowly\t 4001\t 21
Goodson\t 4002\t 21
extensive\t 4003\t 21
ringers\t 4004\t 21
merged\t 4005\t 21
adequate\t 4006\t 21
tiny\t 4007\t 21
Already\t 4008\t 21
cleanup\t 4009\t 21
III\t 4010\t 21
Avenue\t 4011\t 21
retained\t 4012\t 21
Kemper\t 4013\t 21
89\t 4014\t 21
Lone\t 4015\t 21
USA\t 4016\t 21
Limited\t 4017\t 21
submitted\t 4018\t 21
Lawyers\t 4019\t 21
Block\t 4020\t 21
Shell\t 4021\t 21
7.5\t 4022\t 21
watched\t 4023\t 21
switch\t 4024\t 21
Fiat\t 4025\t 21
advocates\t 4026\t 21
edge\t 4027\t 21
winter\t 4028\t 21
NASA\t 4029\t 21
planner\t 4030\t 21
Electronics\t 4031\t 21
restructure\t 4032\t 21
stance\t 4033\t 20
sending\t 4034\t 20
upward\t 4035\t 20
Nabisco\t 4036\t 20
Amoco\t 4037\t 20
PAPER\t 4038\t 20
agrees\t 4039\t 20
chamber\t 4040\t 20
odds\t 4041\t 20
encouraged\t 4042\t 20
survive\t 4043\t 20
officially\t 4044\t 20
performed\t 4045\t 20
pleased\t 4046\t 20
ordinary\t 4047\t 20
monitoring\t 4048\t 20
surrounding\t 4049\t 20
affiliates\t 4050\t 20
viewers\t 4051\t 20
traditionally\t 4052\t 20
Lake\t 4053\t 20
Raymond\t 4054\t 20
analysis\t 4055\t 20
Estimated\t 4056\t 20
Commodity\t 4057\t 20
efficiency\t 4058\t 20
turnaround\t 4059\t 20
professionals\t 4060\t 20
Tom\t 4061\t 20
compliance\t 4062\t 20
stepped\t 4063\t 20
Ronald\t 4064\t 20
economics\t 4065\t 20
restricted\t 4066\t 20
GAF\t 4067\t 20
lucrative\t 4068\t 20
expecting\t 4069\t 20
petroleum\t 4070\t 20
typical\t 4071\t 20
redemption\t 4072\t 20
Spanish\t 4073\t 20
2019\t 4074\t 20
rumored\t 4075\t 20
eliminated\t 4076\t 20
depressed\t 4077\t 20
Kodak\t 4078\t 20
Rights\t 4079\t 20
Posted\t 4080\t 20
hundred\t 4081\t 20
MORTGAGE\t 4082\t 20
RATES\t 4083\t 20
LONDON\t 4084\t 20
COMMERCIAL\t 4085\t 20
comfortable\t 4086\t 20
collateral\t 4087\t 20
PRIME\t 4088\t 20
insisted\t 4089\t 20
finds\t 4090\t 20
Island\t 4091\t 20
serving\t 4092\t 20
Metropolitan\t 4093\t 20
Lilly\t 4094\t 20
hardware\t 4095\t 20
rent\t 4096\t 20
Saudi\t 4097\t 20
tourists\t 4098\t 20
3,000\t 4099\t 20
1976\t 4100\t 20
pro\t 4101\t 20
improvements\t 4102\t 20
Delta\t 4103\t 20
Semel\t 4104\t 20
attacks\t 4105\t 20
chosen\t 4106\t 20
400,000\t 4107\t 20
jurors\t 4108\t 20
scenario\t 4109\t 20
Maryland\t 4110\t 20
respectively\t 4111\t 20
referred\t 4112\t 20
uncertain\t 4113\t 20
banned\t 4114\t 20
climate\t 4115\t 20
Exchequer\t 4116\t 20
Motorola\t 4117\t 20
generated\t 4118\t 20
secure\t 4119\t 20
Total\t 4120\t 20
apartment\t 4121\t 20
leads\t 4122\t 20
Feb.\t 4123\t 20
Trump\t 4124\t 20
69\t 4125\t 20
measured\t 4126\t 20
Roberts\t 4127\t 20
Dennis\t 4128\t 20
engineers\t 4129\t 20
charter\t 4130\t 20
MGM\/UA\t 4131\t 20
pleaded\t 4132\t 20
partnerships\t 4133\t 20
Puerto\t 4134\t 20
Wedtech\t 4135\t 20
hiring\t 4136\t 20
injunction\t 4137\t 20
relationships\t 4138\t 20
judgment\t 4139\t 20
integrated\t 4140\t 20
Rather\t 4141\t 20
hospitals\t 4142\t 20
Seagram\t 4143\t 20
disasters\t 4144\t 20
stadium\t 4145\t 20
Third-quarter\t 4146\t 20
lease\t 4147\t 20
contractors\t 4148\t 20
170\t 4149\t 20
worries\t 4150\t 20
Whitbread\t 4151\t 20
confirm\t 4152\t 20
Sansui\t 4153\t 20
whatever\t 4154\t 20
Brussels\t 4155\t 20
hefty\t 4156\t 20
Unlike\t 4157\t 20
sex\t 4158\t 20
grants\t 4159\t 20
Jackson\t 4160\t 20
receipts\t 4161\t 20
Press\t 4162\t 20
2.9\t 4163\t 20
democratic\t 4164\t 20
Finally\t 4165\t 20
liabilities\t 4166\t 20
appointment\t 4167\t 20
fusion\t 4168\t 20
pro-choice\t 4169\t 20
1997\t 4170\t 20
matching\t 4171\t 20
treasurer\t 4172\t 20
dumped\t 4173\t 20
budgets\t 4174\t 20
conglomerate\t 4175\t 20
dangerous\t 4176\t 20
Nigel\t 4177\t 20
treat\t 4178\t 20
egg\t 4179\t 20
money-market\t 4180\t 20
Sons\t 4181\t 20
spill\t 4182\t 20
League\t 4183\t 20
Meredith\t 4184\t 19
Parliament\t 4185\t 19
Berkeley\t 4186\t 19
Healthcare\t 4187\t 19
grant\t 4188\t 19
categories\t 4189\t 19
Banks\t 4190\t 19
mentioned\t 4191\t 19
angry\t 4192\t 19
elderly\t 4193\t 19
Rated\t 4194\t 19
contribute\t 4195\t 19
Netherlands\t 4196\t 19
Edwards\t 4197\t 19
Stein\t 4198\t 19
treaty\t 4199\t 19
responsibilities\t 4200\t 19
Proceeds\t 4201\t 19
shipyard\t 4202\t 19
Revco\t 4203\t 19
Mass\t 4204\t 19
adopt\t 4205\t 19
bearish\t 4206\t 19
plane\t 4207\t 19
facts\t 4208\t 19
claiming\t 4209\t 19
print\t 4210\t 19
prospective\t 4211\t 19
league\t 4212\t 19
momentum\t 4213\t 19
conviction\t 4214\t 19
institute\t 4215\t 19
steep\t 4216\t 19
Steve\t 4217\t 19
Every\t 4218\t 19
recognized\t 4219\t 19
Turkey\t 4220\t 19
conversion\t 4221\t 19
recognize\t 4222\t 19
prepare\t 4223\t 19
achieve\t 4224\t 19
Dynamics\t 4225\t 19
promotions\t 4226\t 19
reporter\t 4227\t 19
transport\t 4228\t 19
advised\t 4229\t 19
Achenbaum\t 4230\t 19
Merkur\t 4231\t 19
Litigation\t 4232\t 19
Warsaw\t 4233\t 19
Fireman\t 4234\t 19
emerging\t 4235\t 19
eliminating\t 4236\t 19
racial\t 4237\t 19
cumulative\t 4238\t 19
bench\t 4239\t 19
discrimination\t 4240\t 19
valuable\t 4241\t 19
reality\t 4242\t 19
ministers\t 4243\t 19
conspiracy\t 4244\t 19
Senator\t 4245\t 19
Nicholas\t 4246\t 19
Louisville\t 4247\t 19
Gerald\t 4248\t 19
longtime\t 4249\t 19
independence\t 4250\t 19
reaching\t 4251\t 19
Earth\t 4252\t 19
collection\t 4253\t 19
preparing\t 4254\t 19
charity\t 4255\t 19
Maidenform\t 4256\t 19
Kansas\t 4257\t 19
execution\t 4258\t 19
Brooklyn\t 4259\t 19
meaning\t 4260\t 19
Ralph\t 4261\t 19
Mikhail\t 4262\t 19
excluding\t 4263\t 19
shortage\t 4264\t 19
Comprehensive\t 4265\t 19
Wolf\t 4266\t 19
Kenneth\t 4267\t 19
financed\t 4268\t 19
contain\t 4269\t 19
count\t 4270\t 19
convinced\t 4271\t 19
precious\t 4272\t 19
lend\t 4273\t 19
Mississippi\t 4274\t 19
225\t 4275\t 19
Chevron\t 4276\t 19
Any\t 4277\t 19
truth\t 4278\t 19
buys\t 4279\t 19
focusing\t 4280\t 19
exposed\t 4281\t 19
residential\t 4282\t 19
application\t 4283\t 19
indications\t 4284\t 19
0.3\t 4285\t 19
teacher\t 4286\t 19
licenses\t 4287\t 19
Attorney\t 4288\t 19
rebels\t 4289\t 19
Rico\t 4290\t 19
ounces\t 4291\t 19
unusually\t 4292\t 19
suspect\t 4293\t 19
Agriculture\t 4294\t 19
nice\t 4295\t 19
4.4\t 4296\t 19
spin\t 4297\t 19
Statistics\t 4298\t 19
solutions\t 4299\t 19
railroad\t 4300\t 19
informed\t 4301\t 19
ignoring\t 4302\t 19
incentive\t 4303\t 19
strikes\t 4304\t 19
installed\t 4305\t 19
separately\t 4306\t 19
essential\t 4307\t 19
Utah\t 4308\t 19
weakening\t 4309\t 19
Dollar\t 4310\t 19
expenditures\t 4311\t 19
introduction\t 4312\t 19
electrical\t 4313\t 19
diversified\t 4314\t 19
pointed\t 4315\t 19
easing\t 4316\t 19
LDP\t 4317\t 19
Foundation\t 4318\t 19
located\t 4319\t 19
Resolution\t 4320\t 19
sole\t 4321\t 19
entry\t 4322\t 19
tool\t 4323\t 19
Buick\t 4324\t 19
withdrawal\t 4325\t 19
implications\t 4326\t 19
Sullivan\t 4327\t 19
Equity\t 4328\t 19
employs\t 4329\t 19
4.8\t 4330\t 19
lifted\t 4331\t 19
arguments\t 4332\t 19
Circuit\t 4333\t 19
Mason\t 4334\t 19
supplier\t 4335\t 19
HDTV\t 4336\t 19
page\t 4337\t 19
Coleman\t 4338\t 19
adjustment\t 4339\t 19
honor\t 4340\t 19
killing\t 4341\t 19
train\t 4342\t 19
averaged\t 4343\t 19
aftermath\t 4344\t 19
failures\t 4345\t 19
DES\t 4346\t 19
polls\t 4347\t 19
repeated\t 4348\t 19
Rubicam\t 4349\t 19
Franklin\t 4350\t 19
walk\t 4351\t 19
picked\t 4352\t 19
contest\t 4353\t 19
Deloitte\t 4354\t 19
involves\t 4355\t 19
supporting\t 4356\t 19
Beverly\t 4357\t 19
strip\t 4358\t 19
Chief\t 4359\t 19
Earnings\t 4360\t 19
bonuses\t 4361\t 18
era\t 4362\t 18
violated\t 4363\t 18
franchisees\t 4364\t 18
strongest\t 4365\t 18
encouraging\t 4366\t 18
Contras\t 4367\t 18
Gen-Probe\t 4368\t 18
Lotus\t 4369\t 18
depending\t 4370\t 18
DPC\t 4371\t 18
rarely\t 4372\t 18
Economists\t 4373\t 18
unclear\t 4374\t 18
seasonal\t 4375\t 18
psychology\t 4376\t 18
Daily\t 4377\t 18
Wisconsin\t 4378\t 18
surface\t 4379\t 18
anywhere\t 4380\t 18
conflict\t 4381\t 18
giants\t 4382\t 18
high-tech\t 4383\t 18
impeachment\t 4384\t 18
campaigns\t 4385\t 18
tracks\t 4386\t 18
arranged\t 4387\t 18
posting\t 4388\t 18
Affairs\t 4389\t 18
carefully\t 4390\t 18
Buying\t 4391\t 18
victim\t 4392\t 18
kinds\t 4393\t 18
concessions\t 4394\t 18
investment-grade\t 4395\t 18
Nelson\t 4396\t 18
formally\t 4397\t 18
Per-share\t 4398\t 18
borrow\t 4399\t 18
Albert\t 4400\t 18
strategist\t 4401\t 18
Kentucky\t 4402\t 18
dozens\t 4403\t 18
absolutely\t 4404\t 18
distributor\t 4405\t 18
shipped\t 4406\t 18
baby\t 4407\t 18
persuade\t 4408\t 18
windows\t 4409\t 18
squeezed\t 4410\t 18
storm\t 4411\t 18
marked\t 4412\t 18
notion\t 4413\t 18
Day\t 4414\t 18
submit\t 4415\t 18
pregnant\t 4416\t 18
9.5\t 4417\t 18
Mills\t 4418\t 18
visible\t 4419\t 18
ITT\t 4420\t 18
Drabinsky\t 4421\t 18
lackluster\t 4422\t 18
Olivetti\t 4423\t 18
Mesa\t 4424\t 18
explanation\t 4425\t 18
evening\t 4426\t 18
Renaissance\t 4427\t 18
star\t 4428\t 18
male\t 4429\t 18
cyclical\t 4430\t 18
Results\t 4431\t 18
mix\t 4432\t 18
talked\t 4433\t 18
struggle\t 4434\t 18
discounts\t 4435\t 18
representative\t 4436\t 18
Mips\t 4437\t 18
Mather\t 4438\t 18
engines\t 4439\t 18
rolling\t 4440\t 18
path\t 4441\t 18
Nestle\t 4442\t 18
minute\t 4443\t 18
targeted\t 4444\t 18
benefited\t 4445\t 18
communities\t 4446\t 18
baskets\t 4447\t 18
FHA\t 4448\t 18
films\t 4449\t 18
stemming\t 4450\t 18
injured\t 4451\t 18
Cowboys\t 4452\t 18
Guard\t 4453\t 18
crack\t 4454\t 18
horse\t 4455\t 18
Morishita\t 4456\t 18
Channel\t 4457\t 18
dismissed\t 4458\t 18
enterprises\t 4459\t 18
sounds\t 4460\t 18
edged\t 4461\t 18
automobile\t 4462\t 18
employer\t 4463\t 18
upscale\t 4464\t 18
emotional\t 4465\t 18
repeatedly\t 4466\t 18
technologies\t 4467\t 18
tickets\t 4468\t 18
deciding\t 4469\t 18
Garcia\t 4470\t 18
Partnership\t 4471\t 18
PC\t 4472\t 18
announcing\t 4473\t 18
competitor\t 4474\t 18
Hitachi\t 4475\t 18
remember\t 4476\t 18
touch\t 4477\t 18
characters\t 4478\t 18
homeless\t 4479\t 18
5.9\t 4480\t 18
incurred\t 4481\t 18
Maine\t 4482\t 18
participating\t 4483\t 18
stolen\t 4484\t 18
Treasurys\t 4485\t 18
opponents\t 4486\t 18
Kemp\t 4487\t 18
Options\t 4488\t 18
sat\t 4489\t 18
Others\t 4490\t 18
8.45\t 4491\t 18
supercomputer\t 4492\t 18
aides\t 4493\t 18
ranks\t 4494\t 18
fend\t 4495\t 18
subsequent\t 4496\t 18
panic\t 4497\t 18
driven\t 4498\t 18
electricity\t 4499\t 18
creation\t 4500\t 18
Reebok\t 4501\t 18
Church\t 4502\t 18
periods\t 4503\t 18
Rouge\t 4504\t 18
Elsewhere\t 4505\t 18
Upham\t 4506\t 18
restated\t 4507\t 18
arms\t 4508\t 18
Frederick\t 4509\t 18
250,000\t 4510\t 18
Dun\t 4511\t 18
owning\t 4512\t 18
Bradstreet\t 4513\t 18
Geneva\t 4514\t 18
unsuccessful\t 4515\t 18
bondholders\t 4516\t 18
danger\t 4517\t 18
objectives\t 4518\t 18
dominated\t 4519\t 18
surprisingly\t 4520\t 18
Municipal\t 4521\t 18
Avery\t 4522\t 18
ambitious\t 4523\t 18
explained\t 4524\t 18
Packwood\t 4525\t 18
cattle\t 4526\t 18
Disney\t 4527\t 18
Tokyu\t 4528\t 18
publish\t 4529\t 18
Integrated\t 4530\t 18
triple-A\t 4531\t 18
Protection\t 4532\t 18
Finland\t 4533\t 18
1973\t 4534\t 18
upset\t 4535\t 18
7.90\t 4536\t 18
contribution\t 4537\t 18
Grace\t 4538\t 18
crowd\t 4539\t 18
Rowe\t 4540\t 18
barrel\t 4541\t 18
Wathen\t 4542\t 18
conceded\t 4543\t 18
3.4\t 4544\t 17
Rock\t 4545\t 17
die\t 4546\t 17
62.5\t 4547\t 17
cent\t 4548\t 17
Harry\t 4549\t 17
bitter\t 4550\t 17
Investor\t 4551\t 17
Connaught\t 4552\t 17
happening\t 4553\t 17
historical\t 4554\t 17
Professional\t 4555\t 17
suburban\t 4556\t 17
explaining\t 4557\t 17
executed\t 4558\t 17
ski\t 4559\t 17
restrict\t 4560\t 17
Lines\t 4561\t 17
stages\t 4562\t 17
couples\t 4563\t 17
legislature\t 4564\t 17
coast\t 4565\t 17
Decker\t 4566\t 17
exact\t 4567\t 17
mid-October\t 4568\t 17
absence\t 4569\t 17
deficit-reduction\t 4570\t 17
subscribers\t 4571\t 17
bridges\t 4572\t 17
Art\t 4573\t 17
speak\t 4574\t 17
drawn\t 4575\t 17
Miss\t 4576\t 17
refund\t 4577\t 17
stuck\t 4578\t 17
Femina\t 4579\t 17
belief\t 4580\t 17
lunch\t 4581\t 17
190\t 4582\t 17
Della\t 4583\t 17
passenger\t 4584\t 17
1,500\t 4585\t 17
Operating\t 4586\t 17
Kasparov\t 4587\t 17
Cable\t 4588\t 17
cool\t 4589\t 17
Antar\t 4590\t 17
Dingell\t 4591\t 17
congressman\t 4592\t 17
resorts\t 4593\t 17
advances\t 4594\t 17
Put\t 4595\t 17
basically\t 4596\t 17
engineered\t 4597\t 17
Anthony\t 4598\t 17
25,000\t 4599\t 17
cigarette\t 4600\t 17
amounted\t 4601\t 17
strengthen\t 4602\t 17
sizable\t 4603\t 17
consolidated\t 4604\t 17
Armstrong\t 4605\t 17
slight\t 4606\t 17
diseases\t 4607\t 17
somewhere\t 4608\t 17
NATO\t 4609\t 17
Rosen\t 4610\t 17
cotton\t 4611\t 17
solution\t 4612\t 17
blocks\t 4613\t 17
arrived\t 4614\t 17
compound\t 4615\t 17
maturities\t 4616\t 17
Oppenheimer\t 4617\t 17
passengers\t 4618\t 17
user\t 4619\t 17
legitimate\t 4620\t 17
specifically\t 4621\t 17
transition\t 4622\t 17
array\t 4623\t 17
removed\t 4624\t 17
Alex\t 4625\t 17
Nearly\t 4626\t 17
Volokh\t 4627\t 17
repay\t 4628\t 17
8.55\t 4629\t 17
OF\t 4630\t 17
drilling\t 4631\t 17
insider\t 4632\t 17
0.1\t 4633\t 17
landing\t 4634\t 17
1960s\t 4635\t 17
researcher\t 4636\t 17
rely\t 4637\t 17
row\t 4638\t 17
Sometimes\t 4639\t 17
robust\t 4640\t 17
Mitsui\t 4641\t 17
backlog\t 4642\t 17
Solidarity\t 4643\t 17
liberal\t 4644\t 17
maturing\t 4645\t 17
broadly\t 4646\t 17
latter\t 4647\t 17
Benson\t 4648\t 17
liquor\t 4649\t 17
bullish\t 4650\t 17
Craig\t 4651\t 17
FUNDS\t 4652\t 17
Cineplex\t 4653\t 17
dream\t 4654\t 17
agenda\t 4655\t 17
investigations\t 4656\t 17
regarded\t 4657\t 17
77\t 4658\t 17
idle\t 4659\t 17
wood\t 4660\t 17
Hoffman\t 4661\t 17
broadcasting\t 4662\t 17
Plant\t 4663\t 17
Commercial\t 4664\t 17
Nobody\t 4665\t 17
Allen\t 4666\t 17
1975\t 4667\t 17
Director\t 4668\t 17
reaches\t 4669\t 17
promoting\t 4670\t 17
qualify\t 4671\t 17
vulnerable\t 4672\t 17
Hudson\t 4673\t 17
reacted\t 4674\t 17
Minpeco\t 4675\t 17
Farm\t 4676\t 17
Well\t 4677\t 17
mood\t 4678\t 17
Tele-Communications\t 4679\t 17
equities\t 4680\t 17
links\t 4681\t 17
completion\t 4682\t 17
Khmer\t 4683\t 17
financial-services\t 4684\t 17
violate\t 4685\t 17
Coniston\t 4686\t 17
interviewed\t 4687\t 17
Madison\t 4688\t 17
murder\t 4689\t 17
assist\t 4690\t 17
FTC\t 4691\t 17
ozone\t 4692\t 17
guilders\t 4693\t 17
Consumer\t 4694\t 17
surgery\t 4695\t 17
posts\t 4696\t 17
lowest\t 4697\t 17
compiled\t 4698\t 17
expires\t 4699\t 17
featuring\t 4700\t 17
overcome\t 4701\t 17
salary\t 4702\t 17
shelf\t 4703\t 17
enable\t 4704\t 17
green\t 4705\t 17
basketball\t 4706\t 17
emerged\t 4707\t 17
denies\t 4708\t 17
truly\t 4709\t 17
incest\t 4710\t 17
offsetting\t 4711\t 17
anyway\t 4712\t 17
summit\t 4713\t 17
tries\t 4714\t 17
functions\t 4715\t 17
gathering\t 4716\t 17
publication\t 4717\t 17
Mercury\t 4718\t 17
emissions\t 4719\t 17
Delicious\t 4720\t 17
debut\t 4721\t 17
pull\t 4722\t 17
drew\t 4723\t 17
predicts\t 4724\t 17
learning\t 4725\t 17
matched\t 4726\t 17
accommodate\t 4727\t 17
suffering\t 4728\t 17
articles\t 4729\t 17
rolled\t 4730\t 17
picking\t 4731\t 17
staffers\t 4732\t 17
entrepreneur\t 4733\t 17
Montreal\t 4734\t 17
Advanced\t 4735\t 17
Graphics\t 4736\t 17
clearance\t 4737\t 17
Southeast\t 4738\t 17
Asked\t 4739\t 17
violence\t 4740\t 17
understanding\t 4741\t 17
Nashua\t 4742\t 17
Eurocom\t 4743\t 17
ultimate\t 4744\t 17
dominant\t 4745\t 17
highs\t 4746\t 17
enhanced\t 4747\t 16
mines\t 4748\t 16
apples\t 4749\t 16
discussion\t 4750\t 16
wins\t 4751\t 16
publicity\t 4752\t 16
entering\t 4753\t 16
notably\t 4754\t 16
Members\t 4755\t 16
House-Senate\t 4756\t 16
favored\t 4757\t 16
slashed\t 4758\t 16
Orleans\t 4759\t 16
CS\t 4760\t 16
Issues\t 4761\t 16
Angeles-based\t 4762\t 16
setback\t 4763\t 16
losers\t 4764\t 16
Van\t 4765\t 16
Oklahoma\t 4766\t 16
bear\t 4767\t 16
assigned\t 4768\t 16
McDonough\t 4769\t 16
affecting\t 4770\t 16
Ashland\t 4771\t 16
counted\t 4772\t 16
ignored\t 4773\t 16
Dozen\t 4774\t 16
jail\t 4775\t 16
maintaining\t 4776\t 16
guys\t 4777\t 16
feature\t 4778\t 16
Quotron\t 4779\t 16
speculated\t 4780\t 16
animal\t 4781\t 16
useful\t 4782\t 16
studied\t 4783\t 16
Societe\t 4784\t 16
tested\t 4785\t 16
Gardens\t 4786\t 16
discontinued\t 4787\t 16
interstate\t 4788\t 16
wrongdoing\t 4789\t 16
Fresenius\t 4790\t 16
soaring\t 4791\t 16
crops\t 4792\t 16
seller\t 4793\t 16
hurricane\t 4794\t 16
Shevardnadze\t 4795\t 16
Ingersoll\t 4796\t 16
parking\t 4797\t 16
formula\t 4798\t 16
drivers\t 4799\t 16
Sports\t 4800\t 16
Colgate\t 4801\t 16
adjusters\t 4802\t 16
Filipino\t 4803\t 16
conducting\t 4804\t 16
colony\t 4805\t 16
perception\t 4806\t 16
Education\t 4807\t 16
responding\t 4808\t 16
high-quality\t 4809\t 16
dinner\t 4810\t 16
Richmond\t 4811\t 16
regime\t 4812\t 16
Short\t 4813\t 16
Greenville\t 4814\t 16
Arkansas\t 4815\t 16
NFL\t 4816\t 16
clearing\t 4817\t 16
unconstitutional\t 4818\t 16
cubic\t 4819\t 16
banning\t 4820\t 16
Advertising\t 4821\t 16
balloon\t 4822\t 16
born\t 4823\t 16
withdraw\t 4824\t 16
proper\t 4825\t 16
halted\t 4826\t 16
Stamford\t 4827\t 16
Christian\t 4828\t 16
Suisse\t 4829\t 16
D.T.\t 4830\t 16
steadily\t 4831\t 16
threatening\t 4832\t 16
mills\t 4833\t 16
pursuit\t 4834\t 16
negotiate\t 4835\t 16
flows\t 4836\t 16
calculations\t 4837\t 16
Harold\t 4838\t 16
code\t 4839\t 16
